t,true_px,true_py,meas_px,meas_py,est_px,est_py
0.81,2.41982,40.0334,2.29068,40.3079,2.39242,40.3764
0.82,2.44982,39.9533,2.39031,39.7964,2.41622,40.2653
0.83,2.47982,39.8722,2.48487,39.9308,2.4488,40.1834
0.84,2.50982,39.7901,2.22892,39.9714,2.44536,40.1161
0.85,2.53982,39.7071,2.58087,39.3365,2.48574,39.9772
0.86,2.56982,39.6231,2.40878,39.3722,2.49982,39.8582
0.87,2.59982,39.5381,2.7502,39.7511,2.55459,39.8
0.88,2.62982,39.4521,2.45066,39.0505,2.56563,39.6613
0.89,2.65982,39.3651,2.50218,39.8038,2.58137,39.6322
0.9,2.68982,39.2772,2.55481,40.058,2.60149,39.6392
0.91,2.71982,39.1883,2.9187,39.521,2.66445,39.5794
0.92,2.74982,39.0984,2.53508,39.504,2.67236,39.5248
0.93,2.77982,39.0075,2.66874,39.0198,2.69557,39.4163
0.94,2.80982,38.9156,3.01075,39.5395,2.75855,39.3852
0.95,2.83983,38.8227,2.69615,38.522,2.77512,39.2313
0.96,2.86983,38.7289,2.23922,38.6835,2.73225,39.1145
0.97,2.89983,38.6341,2.9492,38.4768,2.78194,38.9852
0.98,2.92983,38.5383,3.17208,38.5889,2.85379,38.8845
0.99,2.95983,38.4415,2.86405,39.0046,2.87917,38.8474
1,2.98983,38.3438,2.3834,38.4313,2.84127,38.7437
1.01,3.01983,38.245,3.16767,38.4314,2.90467,38.6521
1.02,3.04983,38.1453,2.90533,37.6542,2.92819,38.4741
1.03,3.07983,38.0446,2.43164,37.9086,2.88953,38.3476
1.04,3.10983,37.9429,3.04273,37.7673,2.9306,38.2178
1.05,3.13983,37.8403,2.84103,38.2179,2.94169,38.1592
1.06,3.16983,37.7366,3.05355,37.7102,2.97763,38.0446
1.07,3.19983,37.632,2.98383,37.4908,3.00061,37.9159
1.08,3.22983,37.5264,2.88682,37.4182,3.00856,37.7929
1.09,3.25983,37.4198,3.38447,37.4367,3.07727,37.6864
1.1,3.28983,37.3122,3.47195,36.9255,3.14929,37.5285
1.11,3.31983,37.2037,3.06045,37.8461,3.16195,37.5035
1.12,3.34983,37.0941,3.97156,37.0525,3.28646,37.3835
1.13,3.37983,36.9836,3.10175,37.0943,3.28897,37.2827
1.14,3.40983,36.8721,3.48214,37.0488,3.33807,37.1883
1.15,3.43983,36.7597,3.50567,36.7434,3.38443,37.067
1.16,3.46983,36.6462,3.5267,37.1179,3.42801,37.0067
1.17,3.49983,36.5318,3.09687,36.6695,3.41279,36.8982
1.18,3.52983,36.4164,3.58749,36.6129,3.45973,36.7955
1.19,3.55983,36.3,3.65518,35.5505,3.50966,36.5724
1.2,3.58983,36.1826,3.69795,35.5924,3.55916,36.3793
1.21,3.61983,36.0642,3.60275,36.3663,3.59102,36.3043
1.22,3.64983,35.9449,3.68987,35.841,3.62982,36.1734
1.23,3.67983,35.8246,3.74355,35.5025,3.67066,36.0155
1.24,3.70983,35.7033,3.80683,35.8054,3.71453,35.9135
1.25,3.73983,35.581,3.86667,35.7842,3.76068,35.8213
1.26,3.76983,35.4577,3.33306,35.3832,3.7348,35.6904
1.27,3.79983,35.3335,3.47691,35.2434,3.72885,35.5575
1.28,3.82983,35.2082,3.79544,34.8009,3.76262,35.3849
1.29,3.85983,35.082,4.23333,35.2419,3.84692,35.2871
1.3,3.88983,34.9548,3.53989,35.2403,3.83536,35.2011
1.31,3.91983,34.8267,4.29595,34.8128,3.91869,35.0727
1.32,3.94983,34.6975,3.98465,34.5866,3.95394,34.9312
1.33,3.97983,34.5674,3.65311,35.0652,3.9435,34.8661
1.34,4.00983,34.4363,3.9317,34.7853,3.96824,34.7747
1.35,4.03983,34.3042,4.14861,34.3605,4.01684,34.6418
1.36,4.06983,34.1711,3.92331,34.3424,4.03167,34.5224
1.37,4.09983,34.0371,4.28912,33.7439,4.08997,34.3426
1.38,4.12982,33.902,4.23012,34.0902,4.13425,34.2265
1.39,4.15982,33.766,4.32293,33.6974,4.18488,34.0756
1.4,4.18982,33.629,4.27416,33.9719,4.22354,33.9765
