t,true_x,true_y,true_theta,est_x,est_y,est_theta
8.4,1.95031,6.07184,2.55,1.90999,6.03704,2.54059
8.5,1.8673,6.12761,2.58,1.83495,6.12414,2.56939
8.6,1.78266,6.18086,2.61,1.74702,6.20401,2.59705
8.7,1.69646,6.23155,2.64,1.65627,6.25586,2.62643
8.8,1.60878,6.27963,2.67,1.59424,6.32082,2.65709
8.9,1.5197,6.32506,2.7,1.50086,6.35169,2.68705
9,1.42929,6.3678,2.73,1.40041,6.38763,2.71582
9.1,1.33764,6.40781,2.76,1.33052,6.45123,2.74461
9.2,1.24483,6.44505,2.79,1.24269,6.48723,2.77483
9.3,1.15095,6.47949,2.82,1.1428,6.546,2.80453
9.4,1.05608,6.51109,2.85,1.04649,6.59642,2.83275
9.5,0.960299,6.53984,2.88,0.943313,6.65736,2.86188
9.6,0.863701,6.5657,2.91,0.849078,6.69692,2.89302
9.7,0.766371,6.58866,2.94,0.758275,6.71354,2.92354
9.8,0.668396,6.60868,2.97,0.652628,6.75933,2.95204
9.9,0.569864,6.62575,3,0.558652,6.762,2.98111
10,0.470865,6.63987,3.03,0.462183,6.77681,3.01132
10.1,0.371487,6.651,3.06,0.363492,6.82449,3.04046
10.2,0.27182,6.65915,3.09,0.24352,6.82847,3.06899
10.3,0.171953,6.66431,3.12,0.170155,6.8755,3.09907
10.4,0.0719762,6.66647,-3.13319,0.0461621,6.86498,3.12811
10.5,-0.0280203,6.66563,-3.10319,-0.0312947,6.84644,-3.12305
10.6,-0.127947,6.66179,-3.07319,-0.141553,6.81596,-3.0935
10.7,-0.227713,6.65495,-3.04319,-0.230609,6.79507,-3.0629
10.8,-0.327229,6.64513,-3.01319,-0.327532,6.7735,-3.03191
10.9,-0.426406,6.63232,-2.98319,-0.410116,6.7901,-3.00122
11,-0.525154,6.61655,-2.95319,-0.475891,6.72029,-2.97071
11.1,-0.623384,6.59782,-2.92319,-0.574501,6.69094,-2.94034
11.2,-0.721008,6.57615,-2.89319,-0.696951,6.66167,-2.91196
11.3,-0.817939,6.55157,-2.86319,-0.784124,6.61945,-2.88133
11.4,-0.914088,6.52408,-2.83319,-0.885592,6.59079,-2.85056
11.5,-1.00937,6.49373,-2.80319,-0.982289,6.5434,-2.82009
11.6,-1.1037,6.46053,-2.77319,-1.09117,6.51754,-2.79056
11.7,-1.19699,6.42452,-2.74319,-1.18653,6.49384,-2.7621
