t,true_x,true_y,true_theta,est_x,est_y,est_theta
38.8,-2.58458,1.2908,-0.896371,-2.6321,1.34782,-0.906995
38.9,-2.52213,1.21269,-0.866371,-2.60106,1.28896,-0.87682
39,-2.45737,1.13649,-0.836371,-2.50719,1.23387,-0.846734
39.1,-2.39036,1.06227,-0.806371,-2.42275,1.15208,-0.816383
39.2,-2.32115,0.990092,-0.776371,-2.3388,1.11469,-0.786169
39.3,-2.2498,0.920023,-0.746371,-2.26887,1.03126,-0.756003
39.4,-2.17638,0.852125,-0.716371,-2.20073,0.962225,-0.725426
39.5,-2.10097,0.78646,-0.686371,-2.09254,0.886664,-0.695397
39.6,-2.02361,0.723086,-0.656371,-2.00064,0.827128,-0.665289
39.7,-1.94439,0.662062,-0.626371,-1.90895,0.784036,-0.634764
39.8,-1.86337,0.603441,-0.596371,-1.83339,0.720489,-0.60472
39.9,-1.78063,0.547276,-0.566371,-1.74578,0.655858,-0.574426
40,-1.69625,0.493619,-0.536371,-1.64613,0.596218,-0.544814
40.1,-1.61029,0.442517,-0.506371,-1.57425,0.571874,-0.514231
40.2,-1.52284,0.394017,-0.476371,-1.46598,0.518234,-0.484318
40.3,-1.43398,0.348161,-0.446371,-1.38769,0.468525,-0.454182
40.4,-1.34377,0.304991,-0.416371,-1.3048,0.381561,-0.424154
40.5,-1.25232,0.264547,-0.386371,-1.20994,0.328951,-0.394611
40.6,-1.15969,0.226864,-0.356371,-1.08493,0.266887,-0.364678
40.7,-1.06597,0.191977,-0.326371,-0.997477,0.222336,-0.335082
40.8,-0.97125,0.159916,-0.296371,-0.869239,0.188454,-0.305254
40.9,-0.87561,0.130711,-0.266371,-0.77302,0.149427,-0.275467
41,-0.779137,0.104388,-0.236371,-0.655094,0.14415,-0.245325
41.1,-0.681917,0.08097,-0.206371,-0.550487,0.0737432,-0.215323
41.2,-0.584039,0.0604791,-0.176371,-0.485874,0.0882471,-0.185308
41.3,-0.485591,0.0429333,-0.146371,-0.419422,0.0575689,-0.155442
41.4,-0.38666,0.0283485,-0.116371,-0.301249,0.0550131,-0.125208
41.5,-0.287336,0.0167376,-0.0863706,-0.222908,0.029907,-0.0951763
41.6,-0.187709,0.00811132,-0.0563706,-0.131467,0.0328938,-0.0651604
41.7,-0.0878679,0.00247724,-0.0263706,-0.0389051,0.0268086,-0.0353034
41.8,0.0120973,-0.000159516,0.00362939,0.0661937,0.0401185,-0.005175
41.9,0.112097,0.000203421,0.0336294,0.162766,0.0703619,0.0251207
42,0.21204,0.00356573,0.0636294,0.26633,0.0969413,0.0548936
42.1,0.311838,0.00992437,0.0936294,0.344535,0.0860675,0.0849792
42.2,0.4114,0.0192736,0.123629,0.432212,0.0893778,0.115081
42.3,0.510637,0.0316051,0.153629,0.534605,0.0945617,0.144636
42.4,0.609459,0.0469077,0.183629,0.631467,0.114599,0.175095
42.5,0.707778,0.0651676,0.213629,0.716732,0.120382,0.204913
42.6,0.805504,0.0863684,0.243629,0.843185,0.138248,0.234853
42.7,0.902551,0.110491,0.273629,0.928131,0.145838,0.265013
42.8,0.998831,0.137514,0.303629,1.01554,0.164202,0.295265
42.9,1.09426,0.167412,0.333629,1.0879,0.181598,0.325295
43,1.18874,0.20016,0.363629,1.17504,0.249887,0.355693
43.1,1.2822,0.235727,0.393629,1.25465,0.283461,0.385931
43.2,1.37456,0.274081,0.423629,1.32705,0.315172,0.415986
43.3,1.46572,0.315188,0.453629,1.41285,0.393228,0.445723
43.4,1.5556,0.359011,0.483629,1.49996,0.423004,0.475873
43.5,1.64413,0.405511,0.513629,1.63522,0.478717,0.505702
43.6,1.73123,0.454645,0.543629,1.72572,0.559561,0.535763
43.7,1.81681,0.506369,0.573629,1.81003,0.581929,0.56544
43.8,1.90081,0.560638,0.603629,1.88482,0.645116,0.595273
43.9,1.98314,0.617401,0.633629,1.97543,0.668984,0.624812
44,2.06372,0.676609,0.663629,2.02622,0.745576,0.655077
44.1,2.1425,0.738207,0.693629,2.11304,0.827121,0.685433
44.2,2.21939,0.80214,0.723629,2.20392,0.853463,0.715442
44.3,2.29433,0.868351,0.753629,2.27107,0.925446,0.745508
44.4,2.36726,0.93678,0.783629,2.34204,1.00747,0.775695
44.5,2.43809,1.00737,0.813629,2.39644,1.06079,0.805573
44.6,2.50678,1.08004,0.843629,2.48276,1.14434,0.836155
44.7,2.57325,1.15475,0.873629,2.56159,1.1966,0.866169
44.8,2.63746,1.23142,0.903629,2.6438,1.24655,0.896279
44.9,2.69933,1.30997,0.933629,2.72753,1.30757,0.926131
45,2.75883,1.39035,0.963629,2.76288,1.408,0.956459
45.1,2.81588,1.47248,0.993629,2.79002,1.50386,0.98643
45.2,2.87045,1.55628,1.02363,2.82716,1.59486,1.0167
45.3,2.92247,1.64168,1.05363,2.90291,1.65062,1.0466
45.4,2.97191,1.7286,1.08363,2.96354,1.73826,1.07635
45.5,3.01873,1.81697,1.11363,3.02654,1.83688,1.10649
45.6,3.06287,1.9067,1.14363,3.05282,1.94394,1.13665
45.7,3.1043,1.99771,1.17363,3.12026,2.03353,1.16632
45.8,3.14298,2.08993,1.20363,3.20885,2.12103,1.19623
45.9,3.17888,2.18326,1.23363,3.24865,2.21538,1.22625
46,3.21196,2.27763,1.26363,3.24874,2.31501,1.25613
46.1,3.24219,2.37295,1.29363,3.27903,2.38432,1.28634
46.2,3.26956,2.46914,1.32363,3.2752,2.4584,1.31632
46.3,3.29402,2.5661,1.35363,3.30056,2.56857,1.34597
46.4,3.31557,2.66375,1.38363,3.34693,2.6361,1.3761
46.5,3.33418,2.762,1.41363,3.38224,2.74025,1.40598
46.6,3.34983,2.86077,1.44363,3.40896,2.85983,1.43604
46.7,3.36251,2.95996,1.47363,3.41131,2.9276,1.46588
46.8,3.37221,3.05949,1.50363,3.44965,3.03137,1.49581
46.9,3.37892,3.15927,1.53363,3.43457,3.14917,1.52565
47,3.38264,3.2592,1.56363,3.45225,3.23104,1.55609
47.1,3.38336,3.35919,1.59363,3.4487,3.34179,1.58607
47.2,3.38107,3.45917,1.62363,3.42567,3.44447,1.6162
47.3,3.37579,3.55903,1.65363,3.43178,3.56251,1.64609
47.4,3.36752,3.65869,1.68363,3.44558,3.6364,1.67601
47.5,3.35626,3.75805,1.71363,3.39772,3.74911,1.70599
47.6,3.34202,3.85703,1.74363,3.37638,3.88721,1.73549
47.7,3.32483,3.95554,1.77363,3.34185,3.96495,1.76521
47.8,3.30468,4.05349,1.80363,3.35065,4.04687,1.79525
47.9,3.28161,4.15079,1.83363,3.32765,4.14082,1.82498
48,3.25563,4.24736,1.86363,3.26961,4.29435,1.8555
48.1,3.22676,4.3431,1.89363,3.24849,4.37863,1.88552
48.2,3.19503,4.43794,1.92363,3.19923,4.4397,1.91551
48.3,3.16048,4.53178,1.95363,3.17107,4.48384,1.9454
48.4,3.12312,4.62454,1.98363,3.1259,4.5544,1.97525
48.5,3.083,4.71614,2.01363,3.09612,4.64203,2.00559
48.6,3.04015,4.80649,2.04363,3.07219,4.70656,2.03573
48.7,2.99461,4.89552,2.07363,3.03288,4.79476,2.0656
48.8,2.94642,4.98314,2.10363,2.98232,4.93884,2.09544
48.9,2.89562,5.06928,2.13363,2.92866,5.03052,2.12569
49,2.84227,5.15385,2.16363,2.87549,5.06717,2.15574
49.1,2.78639,5.23679,2.19363,2.82167,5.18211,2.18576
49.2,2.72806,5.31801,2.22363,2.77567,5.30373,2.21608
49.3,2.66732,5.39745,2.25363,2.72353,5.37064,2.24619
49.4,2.60422,5.47503,2.28363,2.64227,5.43191,2.27599
49.5,2.53882,5.55068,2.31363,2.57755,5.54074,2.30575
49.6,2.47118,5.62433,2.34363,2.50191,5.63475,2.33548
49.7,2.40136,5.69593,2.37363,2.44144,5.68654,2.36578
49.8,2.32943,5.76539,2.40363,2.3745,5.78387,2.39548
49.9,2.25545,5.83267,2.43363,2.29835,5.82698,2.42551
